in:Length,in:Stiffness index,in:Strength class,in:CC Height,out:Transverse flexibility Te,out:Transverse flexibility,img
4,1,C27,70,166.278438,166.313,Length4_Stiffnessindex1_StrengthclassC27_CCHeight70_GH_Print.png
5,1,C27,70,405.023316,405.105,Length5_Stiffnessindex1_StrengthclassC27_CCHeight70_GH_Print.png
6,1,C27,70,838.808905,838.972,Length6_Stiffnessindex1_StrengthclassC27_CCHeight70_GH_Print.png
7,1,C27,70,1552.826983,1553.114,Length7_Stiffnessindex1_StrengthclassC27_CCHeight70_GH_Print.png
8,1,C27,70,2647.758741,2648.214,Length8_Stiffnessindex1_StrengthclassC27_CCHeight70_GH_Print.png
3,3,C27,70,36.071836,36.08,Length3_Stiffnessindex3_StrengthclassC27_CCHeight70_GH_Print.png
4,3,C27,70,113.181909,113.208,Length4_Stiffnessindex3_StrengthclassC27_CCHeight70_GH_Print.png
5,3,C27,70,275.393117,275.456,Length5_Stiffnessindex3_StrengthclassC27_CCHeight70_GH_Print.png
6,3,C27,70,570.007725,570.135,Length6_Stiffnessindex3_StrengthclassC27_CCHeight70_GH_Print.png
7,3,C27,70,1054.839611,1055.068,Length7_Stiffnessindex3_StrengthclassC27_CCHeight70_GH_Print.png
8,3,C27,70,1798.21427,1798.587,Length8_Stiffnessindex3_StrengthclassC27_CCHeight70_GH_Print.png
3,8,C27,70,26.257056,26.264,Length3_Stiffnessindex8_StrengthclassC27_CCHeight70_GH_Print.png
4,8,C27,70,82.162357,82.184,Length4_Stiffnessindex8_StrengthclassC27_CCHeight70_GH_Print.png
5,8,C27,70,199.66179,199.713,Length5_Stiffnessindex8_StrengthclassC27_CCHeight70_GH_Print.png
6,8,C27,70,412.971246,413.075,Length6_Stiffnessindex8_StrengthclassC27_CCHeight70_GH_Print.png
7,8,C27,70,763.910147,764.099,Length7_Stiffnessindex8_StrengthclassC27_CCHeight70_GH_Print.png
8,8,C27,70,1301.901447,1302.216,Length8_Stiffnessindex8_StrengthclassC27_CCHeight70_GH_Print.png
3,16,C27,70,21.322387,21.328,Length3_Stiffnessindex16_StrengthclassC27_CCHeight70_GH_Print.png
4,16,C27,70,66.566367,66.585,Length4_Stiffnessindex16_StrengthclassC27_CCHeight70_GH_Print.png
5,16,C27,70,161.585641,161.631,Length5_Stiffnessindex16_StrengthclassC27_CCHeight70_GH_Print.png
6,16,C27,70,334.016543,334.109,Length6_Stiffnessindex16_StrengthclassC27_CCHeight70_GH_Print.png
7,16,C27,70,617.636812,617.805,Length7_Stiffnessindex16_StrengthclassC27_CCHeight70_GH_Print.png
8,16,C27,70,1052.365596,1052.647,Length8_Stiffnessindex16_StrengthclassC27_CCHeight70_GH_Print.png
3,27,C27,70,18.78392,18.789,Length3_Stiffnessindex27_StrengthclassC27_CCHeight70_GH_Print.png
4,27,C27,70,58.543556,58.561,Length4_Stiffnessindex27_StrengthclassC27_CCHeight70_GH_Print.png
5,27,C27,70,141.998702,142.041,Length5_Stiffnessindex27_StrengthclassC27_CCHeight70_GH_Print.png
6,27,C27,70,293.401066,293.487,Length6_Stiffnessindex27_StrengthclassC27_CCHeight70_GH_Print.png
7,27,C27,70,542.391626,542.549,Length7_Stiffnessindex27_StrengthclassC27_CCHeight70_GH_Print.png
8,27,C27,70,924.000631,924.264,Length8_Stiffnessindex27_StrengthclassC27_CCHeight70_GH_Print.png
3,43,C27,70,17.392499,17.398,Length3_Stiffnessindex43_StrengthclassC27_CCHeight70_GH_Print.png
4,43,C27,70,54.145979,54.163,Length4_Stiffnessindex43_StrengthclassC27_CCHeight70_GH_Print.png
5,43,C27,70,131.262428,131.303,Length5_Stiffnessindex43_StrengthclassC27_CCHeight70_GH_Print.png
6,43,C27,70,271.138329,271.221,Length6_Stiffnessindex43_StrengthclassC27_CCHeight70_GH_Print.png
7,43,C27,70,501.147157,501.298,Length7_Stiffnessindex43_StrengthclassC27_CCHeight70_GH_Print.png
8,43,C27,70,853.639388,853.893,Length8_Stiffnessindex43_StrengthclassC27_CCHeight70_GH_Print.png
3,64,C27,70,16.578928,16.584,Length3_Stiffnessindex64_StrengthclassC27_CCHeight70_GH_Print.png
4,64,C27,70,51.574692,51.591,Length4_Stiffnessindex64_StrengthclassC27_CCHeight70_GH_Print.png
5,64,C27,70,124.984872,125.024,Length5_Stiffnessindex64_StrengthclassC27_CCHeight70_GH_Print.png
6,64,C27,70,258.121188,258.202,Length6_Stiffnessindex64_StrengthclassC27_CCHeight70_GH_Print.png
7,64,C27,70,477.031297,477.179,Length7_Stiffnessindex64_StrengthclassC27_CCHeight70_GH_Print.png
8,64,C27,70,812.498795,812.747,Length8_Stiffnessindex64_StrengthclassC27_CCHeight70_GH_Print.png
3,0,C30,70,68.888407,68.902,Length3_Stiffnessindex0_StrengthclassC30_CCHeight70_GH_Print.png
4,0,C30,70,216.931393,216.973,Length4_Stiffnessindex0_StrengthclassC30_CCHeight70_GH_Print.png
