Outer fold,Inner fold,Hyperparameter,Training error,Validation error,Weighted v. error
8.000000,3.000000,20.000000,0.018371,0.027142,0.003877
8.000000,4.000000,2.000000,7.073021,7.551089,1.078727
8.000000,4.000000,8.000000,0.249855,0.603594,0.086228
8.000000,4.000000,10.000000,0.175830,0.490526,0.070075
8.000000,4.000000,12.000000,0.082602,0.224662,0.032095
8.000000,4.000000,14.000000,0.069628,0.237861,0.033980
8.000000,4.000000,16.000000,0.056924,0.160967,0.022995
8.000000,4.000000,20.000000,0.174220,0.691136,0.098734
8.000000,5.000000,2.000000,6.983811,7.527230,1.075319
8.000000,5.000000,8.000000,0.083596,0.097847,0.013978
8.000000,5.000000,10.000000,0.175858,0.115275,0.016468
8.000000,5.000000,12.000000,0.284589,0.183948,0.026278
8.000000,5.000000,14.000000,0.125353,0.100345,0.014335
8.000000,5.000000,16.000000,0.037570,0.077854,0.011122
8.000000,5.000000,20.000000,0.238749,0.065459,0.009351
8.000000,6.000000,2.000000,7.041868,6.873274,0.981896
8.000000,6.000000,8.000000,0.444321,0.390472,0.055782
8.000000,6.000000,10.000000,0.097896,0.134061,0.019152
8.000000,6.000000,12.000000,0.043676,0.063205,0.009029
8.000000,6.000000,14.000000,0.084134,0.112729,0.016104
8.000000,6.000000,16.000000,0.163481,0.156152,0.022307
8.000000,6.000000,20.000000,0.136442,0.160625,0.022946
9.000000,0.000000,2.000000,7.792367,7.420808,1.060115
9.000000,0.000000,8.000000,0.311432,0.283483,0.040498
9.000000,0.000000,10.000000,0.146915,0.165710,0.023673
9.000000,0.000000,12.000000,0.054228,0.098029,0.014004
9.000000,0.000000,14.000000,0.041642,0.073102,0.010443
9.000000,0.000000,16.000000,0.025140,0.077103,0.011015
9.000000,0.000000,20.000000,0.012010,0.040965,0.005852
9.000000,1.000000,2.000000,7.145543,7.012881,1.001840
9.000000,1.000000,8.000000,0.129828,0.165621,0.023660
9.000000,1.000000,10.000000,0.157292,0.212037,0.030291
9.000000,1.000000,12.000000,0.029309,0.058366,0.008338
9.000000,1.000000,14.000000,0.049208,0.085600,0.012229
9.000000,1.000000,16.000000,0.141031,0.109296,0.015614
9.000000,1.000000,20.000000,0.075017,0.087876,0.012554
9.000000,2.000000,2.000000,7.166849,7.443932,1.063419
9.000000,2.000000,8.000000,0.688547,0.705374,0.100768
9.000000,2.000000,10.000000,0.254328,0.201203,0.028743
9.000000,2.000000,12.000000,0.228286,0.199432,0.028490
